Kanji	Hiragana	English
全体	ぜんたい	whole,entirety,whatever (is the matter)
選択	せんたく	selection,choice
騒音	そうおん	noise
増加	ぞうか	increase,addition
操作	そうさ	operation,management,processing
想像	そうぞう	imagination,guess
相続	そうぞく	succession,inheritance
装置	そうち	equipment,installation,apparatus
相当	そうとう	suitable,fair,tolerable,proper
速度	そくど	speed,velocity,rate
底	そこ	bottom,sole
	そこで	so (conj),accordingly,now,then,thereupon
組織	そしき	(1) organization,(2) structure,construction,(3) tissue,(4) system
注ぐ	そそぐ	to pour (into),to irrigate,to pay,to fill,to feed (e.g. a fire)
	そっくり	all,altogether,entirely,be just like,the splitting image of
	そっと	face of the earth
袖	そで	sleeve
備える	そなえる	to furnish,to provide for,to equip,to install
	そのうち	eventually,sooner or later,of the previously mentioned
側	そば	side,edge,third person
粗末	そまつ	crude,rough,plain,humble
それ	（接。感）	it,that
	それぞれ	each,every,either,respectively,severally
	それとも	or,or else
損	そん	loss,disadvantage
損害	そんがい	damage,injury,loss
尊重	そんちょう	respect,esteem,regard
田	た	rice field
他	た	other (esp. places and things)
対	たい	pair,couple,set
台	だい	stand,rack,table,support
題	だい	title,subject,theme,topic
体育	たいいく	physical education,gymnastics,athletics
体温	たいおん	temperature (body)
大気	たいき	atmosphere
代金	だいきん	price,payment,cost,charge
退屈	たいくつ	tedium,boredom
滞在	たいざい	stay,sojourn
大使	たいし	ambassador
大した	たいした	considerable,great,important,significant,a big deal
対象	たいしょう	target,object (of worship, study, etc),subject (of taxation, etc)
大臣	だいじん	cabinet minister
対する	たいする	to face,to confront,to oppose
大戦	たいせん	great war,great battle
大抵	たいてい	usually,generally
態度	たいど	attitude,manner
大統領	だいとうりょう	president,chief executive
大半	たいはん	majority,mostly,generally
代表	だいひょう	representative,representation,delegation,type,example,model
大部分	だいぶぶん	most part,greater part,majority
逮捕	たいほ	arrest,apprehension,capture
	ダイヤ	(1) dyer,(2) diagram,(3) (railway) schedule,(4) diamond
太陽	たいよう	sun,solar
平ら	たいら	flatness,level,smooth,calm,plain
代理	だいり	representation,agency,proxy,deputy,agent
大陸	たいりく	continent
倒す	たおす	to throw down,to beat,to bring down,to blow down
だが	だが	
互い	たがい	mutual,reciprocal
宝	たから	treasure
だから	だから	so,therefore
宅	たく	house,home,husband
確かめる	たしかめる	to ascertain
多少	たしょう	more or less,somewhat,a little,some
叩く	たたく	to strike,to clap,to dust,to beat
直ちに	ただちに	at once,immediately,directly,in person
立ち上がる	たちあがる	to stand up
立場	たちば	standpoint,position,situation
経つ	たつ	to pass,to lapse
達する	たっする	to reach,to get to
唯	たった	free of charge,mere,sole,only,usual,common
	だって	but,because,even,also,too
	たっぷり	full,in plenty,ample
縦	たて	length,height
	たとえ	simile,metaphor,allegory
谷	たに	valley
他人	たにん	another person,unrelated person,outsider,stranger
種	たね	(1) seed,(2) material,(3) cause,source
束	たば	handbreadth,bundle
度	たび	counter for occurrences
旅	たび	travel,trip,journey
	たびたび	often,repeatedly,frequently
玉	たま	ball,sphere,coin
球	たま	globe,sphere,ball
弾	たま	bullet,shot,shell
偶	たま	even number,couple,man and wife,friend
偶々	たまたま	casually,unexpectedly,accidentally,by chance
	たまらない	intolerable,unbearable,unendurable
黙る	だまる	to be silent
駄目	だめ	useless,no good,hopeless
試し	ためし	trial,test
試す	ためす	to attempt,to test
便り	たより	news,tidings,information,correspondence,letter
頼る	たよる	to rely on,to have recourse to,to depend on
誰か	だれか	someone,somebody
段	だん	step,stair,flight of steps,grade,rank,level
単位	たんい	unit,denomination,credit (in school)
男子	だんし	youth,young man
単純	たんじゅん	simplicity
誕生	たんじょう	birth
団体	だんたい	organization,association
担当	たんとう	(in) charge
単なる	たんなる	mere,simple,sheer
単に	たんに	simply,merely,only,solely
地	ち	earth
地位	ちい	(social) position,status
地域	ちいき	area,region
知恵	ちえ	wisdom,wit,sagacity,sense,intelligence,advice
違い	ちがい	difference,discrepancy
違いない	ちがいない	(phrase) sure,no mistaking it,for certain
近頃	ちかごろ	lately,recently,nowadays
地球	ちきゅう	the earth
地区	ちく	district,section,sector
遅刻	ちこく	lateness,late coming
知事	ちじ	prefectural governor
知識	ちしき	knowledge,information
知能	ちのう	intelligence,brains
地平線	ちへいせん	horizon
地方	ちほう	area,locality,district,region,the coast
注	ちゅう	annotation,explanatory note
中央	ちゅうおう	centre,central,center,middle
中学	ちゅうがく	middle school,junior high school
中古	ちゅうこ	(1) used,second-hand,old
中止	ちゅうし	suspension,stoppage,discontinuance,interruption
駐車	ちゅうしゃ	parking (e.g. car)
昼食	ちゅうしょく	lunch,midday meal
中心	ちゅうしん	center,core,heart,pivot,emphasis,balance
注目	ちゅうもく	notice,attention,observation
注文	ちゅうもん	order,request
長期	ちょうき	long time period
調査	ちょうさ	investigation,examination,inquiry,survey
調子	ちょうし	tune,tone,key
頂上	ちょうじょう	top,summit,peak
	ちょうだい	(1) please do for me (preceded by -te),(2) reception,being given,get
貯金	ちょきん	(bank) savings
直接	ちょくせつ	direct,immediate,personal,firsthand
著者	ちょしゃ	author,writer
遂に	ついに	finally,at last
通過	つうか	passage through,passing
通学	つうがく	commuting to school
通行	つうこう	passage,passing
通じる	つうじる	to run to,to lead to,to communicate,to understand
通信	つうしん	correspondence,communication,news,signal
捕まる	つかまる	to be caught,to be arrested
掴む	つかむ	to seize,to catch,to grasp
付き合い	つきあい	association,socializing,fellowship
次々	つぎつぎ	in succession,one by one
就く	つく	to settle in (place),to take (seat, position),to study (under teacher)
注ぐ	つぐ	to pour (into),to irrigate,to pay
包み	つつみ	bundle,package,parcel,bale
勤め	つとめ	(1) service,duty,business,responsibility,task,(2) Buddhist religious services
務め	つとめ	(1) service,duty,(2) Buddhist religious services
繋ぐ	つなぐ	to tie,to fasten,to connect,to transfer (phone call)
常に	つねに	always,constantly
翼	つばさ	wings
罪	つみ	crime,fault,indiscretion
詰める	つめる	to pack,to shorten,to work out (details)
積もる	つもる	to pile up
梅雨	つゆ	rainy season,rain during the rainy season
辛い	つらい	painful,heart-breaking
釣	つり	fishing
連れ	つれ	companion,company
	で	outflow,coming (going) out,graduate (of)
出会い	であい	meeting,rendezvous,encounter
出会う	であう	to meet by chance,to come across,to happen to encounter
提案	ていあん	proposal,proposition,suggestion
定期	ていき	fixed term
抵抗	ていこう	electrical resistance,resistance,opposition
提出	ていしゅつ	presentation,submission,filing
程度	ていど	degree,amount,grade,standard,of the order of (following a number)
停留所	ていりゅうじょ	bus or tram stop
出来事	できごと	incident,affair,happening,event
適する	てきする	to fit,to suit
適切	てきせつ	pertinent,appropriate,adequate,relevance
適度	てきど	moderate
適用	てきよう	applying
できる	（可能。出現。発生）	to be able to,to be ready,to occur
手品	てじな	sleight of hand,conjuring trick,magic,juggling
鉄	てつ	iron
哲学	てつがく	philosophy
徹底	てってい	thoroughness,completeness
鉄道	てつどう	railroad
徹夜	てつや	all night,all night vigil,sleepless night
では	では	chance of going out,opportunity (to succeed),moment of departure,beginning of work
手間	てま	time,labour
典型	てんけい	type,pattern,archetypal
電子	でんし	electron
伝統	でんとう	tradition,convention
天然	てんねん	nature,spontaneity
問い	とい	question,query
党	とう	party (political)
塔	とう	tower,pagoda
どう	（接。副）	child,servant,foolishness
答案	とうあん	examination paper,examination script
同一	どういつ	identity,sameness,similarity
	どうか	copper coin
当時	とうじ	at that time,in those days
動詞	どうし	verb
同時	どうじ	simultaneous(ly),concurrent,same time,synchronous
	どうしても	by all means,at any cost,no matter what
到着	とうちゃく	arrival
道徳	どうとく	morals
投票	とうひょう	voting,poll
同様	どうよう	identical,equal to,same (kind),like
道路	どうろ	road,highway
通す	とおす	to let pass,to overlook,to continue
通り	とおり	in accordance with ~,following ~,~ Street,~ Avenue
通り過ぎる	とおりすぎる	to pass,to pass through
都会	とかい	city
解く	とく	to unfasten
得意	とくい	pride,triumph,prosperity
読書	どくしょ	reading
独身	どくしん	bachelorhood,single,unmarried,celibate
特徴	とくちょう	feature,characteristic
独特	どくとく	peculiarity,uniqueness,characteristic
独立	どくりつ	independence (e.g. Ind. Day),self-support
解ける	とける	to come untied,to come apart
	ところが	however,while,even if
	ところで	by the way,even if,no matter what
登山	とざん	mountain-climbing
都市	とし	town,city,municipal,urban
年月	としつき	months and years
図書	としょ	books
年寄	としより	old people,the aged
閉じる	とじる	to close (e.g. book, eyes),to shut
途端	とたん	just (now, at the moment, etc.)
土地	とち	plot of land,lot,soil
突然	とつぜん	abruptly,suddenly,unexpectedly,all at once
届く	とどく	to reach
飛ばす	とばす	to skip over,to omit
飛び出す	とびだす	to jump out,to rush out,to fly out
留める	とめる	to fasten,to turn off,to detain
共に	ともに	sharing with,participate in
	トランプ	playing cards (lit: trump)
取り上げる	とりあげる	to take up,to pick up,to disqualify,to confiscate,to deprive
努力	どりょく	great effort,exertion,endeavour,effort
どれ	どれ	well,now,let me see,which (of three or more)
取れる	とれる	to come off,to be taken off,to be removed
泥	どろ	mud
とん	（1000	ton
	とんでもない	unexpected,offensive,What a thing to say!,No way!
	どんなに	how,how much
	なお	straight,mischief,ordinary,common
仲	なか	relation,relationship
流す	ながす	to drain,to float,to shed (blood, tears),to cruise (e.g. taxi)
	なかなか	very,considerably,easily
半ば	なかば	middle,half,semi,halfway,partly
眺め	ながめ	scene,view,prospect,outlook
眺める	ながめる	to view,to gaze at
流れ	ながれ	stream,current
流れる	ながれる	to stream,to flow,to run (ink),to be washed away
	なぜなら	because
謎	なぞ	riddle,puzzle,enigma
納得	なっとく	consent,assent,understanding
等	など	et cetera,etc.,and the like
鍋	なべ	saucepan,pot
生	なま	(1) draft (beer),(2) raw,unprocessed
怠ける	なまける	to be idle,to neglect
波	なみ	wave
涙	なみだ	tear
悩む	なやむ	to be worried,to be troubled
為る	なる	to change,to be of use,to reach to
成る	なる	to become
縄	なわ	rope,hemp
何でも	なんでも	by all means,everything
握る	にぎる	to grasp,to seize,to mould sushi
日常	にちじょう	ordinary,regular,everyday,usual
日光	にっこう	sunlight
日中	にっちゅう	daytime,broad daylight
	にっこり	smile sweetly,smile,grin
入院	にゅういん	hospitalization
入学	にゅうがく	entry to school or university,matriculation
入場	にゅうじょう	entrance,admission,entering
人気	にんき	sign of life
抜く	ぬく	to extract,to omit,to surpass,to draw out,to unplug
抜ける	ぬける	to come out,to fall out,to be omitted
布	ぬの	cloth
濡れる	ぬれる	to get wet
ね	（感）	value,price,cost,worth,merit
根	ね	root
値	ね	value,price,cost
願い	ねがい	desire,wish,request
願う	ねがう	to desire,to wish,to request
熱心	ねっしん	zeal,enthusiasm
熱帯	ねったい	tropics
熱中	ねっちゅう	nuts!,enthusiasm,zeal,mania
年月	ねんげつ	months and years
年中	ねんじゅう	whole year,always,everyday
年代	ねんだい	age,era,period,date
年齢	ねんれい	age,years
野	の	field
能	のう	being skilled in,nicely,properly
農家	のうか	farmer,farm family
農業	のうぎょう	agriculture
農民	のうみん	farmers,peasants
軒	のき	eaves
残り	のこり	remnant,residue,remaining,left-over
乗せる	のせる	to place on (something),to take on board,to give a ride
除く	のぞく	to remove,to exclude,to except
望み	のぞみ	wish,desire,(a) hope
望む	のぞむ	to desire,to wish for,to see,to command (a view of)
後	のち	afterwards,since then,in the future
	ノック	(1) knock,(2) fungo (baseball)
伸ばす	のばす	to lengthen,to stretch,to reach out,to grow (beard)
伸びる	のびる	to stretch,to extend,to make progress,to grow (beard, body height)
述べる	のべる	to state,to express,to mention
	のんびり	carefree,at leisure
場	ば	place,field (physics)
はあ	（感）	
はい	（感）	wear,put on (sword)
灰	はい	ash
梅雨	ばいう	rainy season,rain during the rainy season
配達	はいたつ	delivery,distribution
	パイプ	(1) pipe,tube,(2) channels, official or otherwise
俳優	はいゆう	actor,actress,player,performer
墓	はか	grave,tomb
博士	はかせ	doctorate,PhD
計る	はかる	to measure,to weigh,to survey
吐く	はく	(1) to breathe,(2) to tell (lies),(3) to vomit,to disgorge
拍手	はくしゅ	clapping hands,applause
莫大	ばくだい	enormous,vast
博物館	はくぶつかん	museum
激しい	はげしい	violent,vehement,intense
	はさみ	scissors
破産	はさん	(personal) bankruptcy
端	はし	end (e.g. of street),edge,tip,margin,point
外す	はずす	to unfasten,to remove
旗	はた	flag
肌	はだ	skin
裸	はだか	naked,nude
畑	はたけ	field
二十	はたち	20 years old,20th year
発見	はっけん	discovery,detection,finding
発行	はっこう	issue (publications)
発車	はっしゃ	departure of a vehicle
罰する	ばっする	to punish,to penalize
発達	はったつ	development,growth
	ばったり	with a clash (thud),with a bang,plump,flop
発展	はってん	development,growth
発明	はつめい	invention
話し合う	はなしあう	to discuss,to talk together
離す	はなす	to part,divide,separate
放す	はなす	to separate,to set free
離れる	はなれる	to be separated from,to leave,to go away,to be a long way off
羽	はね	counter for birds,counter for rabbits
幅	はば	width,breadth
省く	はぶく	to omit,to eliminate,to curtail,to economize
場面	ばめん	scene,setting (e.g. of novel)
腹	はら	abdomen,belly,stomach
原	はら	field,plain,prairie,tundra,moor,wilderness
針	はり	needle,hand (e.g. clock)
張る	はる	to stick,to paste
	バン	bun,van (caravan),VAN (value-added network)
範囲	はんい	extent,scope,sphere,range
反抗	はんこう	opposition,resistance
犯罪	はんざい	crime
判断	はんだん	judgement,decision
犯人	はんにん	offender,criminal
販売	はんばい	sale,selling,marketing
灯	ひ	light
被害	ひがい	damage
比較	ひかく	comparison
轢く	ひく	to run somebody over (with vehicle),to knock someone down
悲劇	ひげき	tragedy
飛行	ひこう	aviation
膝	ひざ	knee,lap
非常	ひじょう	emergency,extraordinary,unusual
額	ひたい	forehead,brow
日付	ひづけ	date,dating
必死	ひっし	inevitable death,desperation,frantic,inevitable result
	ぴったり	exactly,neatly,sharp
引っ張る	ひっぱる	(1) to pull,to draw,to stretch,to drag,(2) to pull the ball (baseball)
否定	ひてい	negation,denial,repudiation
一言	ひとこと	single word
人込み	ひとごみ	crowd of people
等しい	ひとしい	equal
独り	ひとり	alone,unmarried
批判	ひはん	criticism,judgement,comment
批評	ひひょう	criticism,review,commentary
秘密	ひみつ	secret,secrecy
微妙	びみょう	delicate,subtle
紐	ひも	(1) string,cord,(2) pimp
費用	ひよう	cost,expense
表	ひょう	table (e.g. Tab 1),chart,list
秒	びょう	second (60th min)
評価	ひょうか	valuation,estimation,assessment,evaluation
表情	ひょうじょう	facial expression
平等	びょうどう	equality (a),impartiality,evenness
評判	ひょうばん	fame,reputation,popularity,arrant
表面	ひょうめん	surface,outside,face,appearance
広がる	ひろがる	to spread (out),to extend,to stretch,to reach to,to get around
品	ひん	thing,article,goods,dignity,article (goods),counter for meal courses
瓶	びん	bottle
便	びん	way,means
	ピン	pin
不	ふ	un,non,negative prefix
不	ぶ	un,non,negative prefix
無	ぶ	nothing,naught,nil,zero
分	ぶ	dividing,part
不安	ふあん	anxiety,uneasiness,insecurity,suspense
風景	ふうけい	scenery
夫婦	ふうふ	married couple,husband and wife
笛	ふえ	flute,pipe
不可	ふか	wrong,bad,improper,unjustifiable,inadvisable
武器	ぶき	weapon,arms,ordinance
服装	ふくそう	garments
含む	ふくむ	to hold in the mouth,to bear in mind
袋	ふくろ	bag,sack
不幸	ふこう	unhappiness,sorrow,misfortune,disaster,accident,death
節	ふし	tune,tone,knot,knob,point
無事	ぶじ	safety,peace,quietness
不思議	ふしぎ	mystery,curiosity
不自由	ふじゆう	discomfort,disability,inconvenience,destitution
夫人	ふじん	wife,Mrs,madam
婦人	ふじん	woman,female
不正	ふせい	injustice,unfairness
防ぐ	ふせぐ	to defend (against),to protect,to prevent
不足	ふそく	insufficiency,shortage,deficiency,lack,dearth
舞台	ぶたい	stage (theatre)
双子	ふたご	twins,a twin
再び	ふたたび	again,once more,a second time
普段	ふだん	usually,habitually,ordinarily,always
縁	ふち	a means, e.g. of living
打つ	ぶつ	to hit,to strike
物価	ぶっか	prices of commodities,prices (in general)
物質	ぶっしつ	material,substance
物理	ぶつり	physics
筆	ふで	writing brush
ふと	（副）	suddenly,casually,accidentally,incidentally,unexpectedly,unintentionally
不平	ふへい	complaint,discontent,dissatisfaction
不満	ふまん	dissatisfaction,displeasure,discontent,complaints,unhappiness
不利	ふり	disadvantage,handicap,unfavorable,drawback
振る	ふる	(1) to wave,to shake,to swing,(2) to sprinkle,(3) to cast (actor),to allocate (work)
震える	ふるえる	to shiver,to shake,to quake
触れる	ふれる	to touch,to be touched,to touch on a subject,to feel,to violate (law, copyright, etc.),to perceive,t
分	ぶん	dividing,part,segment
雰囲気	ふんいき	atmosphere (e.g. musical),mood,ambience
分析	ぶんせき	analysis
文明	ぶんめい	civilization,culture
分野	ぶんや	field,sphere,realm,division,branch
塀	へい	wall,fence
平均	へいきん	equilibrium,balance,average,mean
減らす	へらす	to abate,to decrease,to diminish,to shorten
減る	へる	to decrease (in size or number),to diminish,to abate
変化	へんか	goblin,ghost,apparition,bugbear
	ペンキ	(n) paint (nl: pek)
変更	へんこう	change,modification,alteration
方	ほう	side
法	ほう	Act (law: the X Act)
棒	ぼう	pole,rod,stick
冒険	ぼうけん	risk,venture,adventure
方向	ほうこう	direction,course,way
報告	ほうこく	report,information
宝石	ほうせき	gem,jewel
放送	ほうそう	broadcast,broadcasting
豊富	ほうふ	abundance,wealth,plenty,bounty
方法	ほうほう	method,manner,way,means,technique
方々	ほうぼう	persons,this and that,here and there,everywhere
訪問	ほうもん	call,visit
吠える	ほえる	to bark,to bay,to howl,to bellow,to roar,to cry
誇り	ほこり	pride
埃	ほこり	dust
保証	ほしょう	guarantee,security,assurance,pledge,warranty
保存	ほぞん	preservation,conservation,storage,maintenance
程	ほど	degree,extent,bounds,limit
歩道	ほどう	footpath,walkway,sidewalk
炎	ほのお	flame
頬	ほほ	cheek (of face)
頬	ほお	cheek (of face)
	ほぼ	almost,roughly,approximately
微笑む	ほほえむ	to smile
濠	ほり	moat
本当	ほんと	truth,reality
本当	ほんとう	truth,reality
本人	ほんにん	the person himself
	ぼんやり	absent-minded,block-head,dim,faint,vague
間	ま	space,room,time,pause
	まあ	(female) you might say
迷子	まいご	lost (stray) child
任せる	まかせる	to entrust to another,to leave to
幕	まく	curtain,bunting,act (in play)
孫	まご	grandchild
	まさに	correctly,surely
真面目	まじめ	diligent,serious,honest
増す	ます	to increase,to grow
貧しい	まずしい	poor,needy
	ますます	increasingly,more and more
松	まつ	(1) pine tree,(2) highest (of a three-tier ranking system)
真っ赤	まっか	deep red,flushed (of face)
全く	まったく	really,truly,entirely,completely
学ぶ	まなぶ	to study (in depth),to learn,to take lessons in
真似	まね	mimicry,imitation,behavior,pretense
招く	まねく	to invite
豆	まめ	beans,peas
	まるで	quite,entirely,completely
回す	まわす	to turn,to revolve
万一	まんいち	by some chance,by some possibility,if by any chance,10E4:1 odds
満足	まんぞく	satisfaction
身	み	body,main part,oneself,sword
実	み	fruit,nut,seed,content,good result
見送り	みおくり	seeing one off,farewell,escort
味方	みかた	friend,ally,supporter
見事	みごと	splendid,magnificent,beautiful,admirable
満ちる	みちる	to be full,to rise (tide),to mature,to expire
密	みつ	secrecy, density (pop), minuteness, carefulness
認める	みとめる	to recognize,to appreciate,to approve,to admit,to notice
見舞い	みまい	enquiry,expression of sympathy,expression of concern
都	みやこ	capital
妙	みょう	strange,unusual
明後日	みょうごにち	day after tomorrow
未来	みらい	future (life, tense)
魅力	みりょく	charm,fascination,glamour
無	む	nothing,naught,nil,zero
向かい	むかい	facing,opposite,across the street,other side
迎え	むかえ	meeting,person sent to pick up an arrival
向く	むく	to face
向ける	むける	to turn towards,to point
無視	むし	disregard,ignore
虫歯	むしば	cavity,tooth decay,decayed tooth,caries
寧ろ	むしろ	rather,better,instead
結ぶ	むすぶ	to tie,to bind,to link
無駄	むだ	futility,uselessness
夢中	むちゅう	daze,(in a) trance,ecstasy,delirium,engrossment
無料	むりょう	free,no charge
芽	め	sprout
明確	めいかく	clear up,clarify,define
命じる	めいじる	to order,to command,to appoint
名人	めいじん	master,expert
命令	めいれい	order,command,decree,directive,(software) instruction
迷惑	めいわく	trouble,bother,annoyance
滅多に	めったに	rarely (with neg. verb),seldom
面	めん	face,mug,surface,facial features,mask,face guard,side or facet,corner,page
綿	めん	cotton,padding
面倒	めんどう	trouble,difficulty,care,attention
申し込む	もうしこむ	to apply for,to make an application
申し訳	もうしわけ	apology,excuse
毛布	もうふ	blanket
目標	もくひょう	mark,objective,target
文字	もじ	letter (of alphabet),character
文字	もんじ	letter (of alphabet),character
	もしも	if
持ち上げる	もちあげる	to raise,to lift up,to flatter
用いる	もちいる	to use,to make use of
最も	もっとも	most,extremely
尤も	もっとも	quite right,plausible,natural,but then,although
基	もと	basis
素	もと	prime
戻す	もどす	to restore,to put back,to return
基づく	もとづく	to be grounded on,to be based on,to be due to,to originate from
求める	もとめる	to seek,to request,to demand,to want,to wish for,to search for,to pursue (pleasure),to hunt (a job),
者	もの	person
物音	ものおと	sounds
物語	ものがたり	tale,story,legend
物事	ものごと	things,everything
模様	もよう	pattern,figure,design
文句	もんく	phrase,complaint
	やがて	before long,soon,at length
役	やく	use,service,role,position
約	やく	approximately,about,some
訳	やく	meaning,reason,circumstances,can be deduced,situation
役割	やくわり	part,assigning (allotment of) parts,role,duties
家賃	やちん	rent
厄介	やっかい	trouble,burden,care,bother
宿	やど	inn,lodging
雇う	やとう	to employ,to hire
屋根	やね	roof
破る	やぶる	to tear,to violate,to defeat,to smash,to destroy
	やや	a little,partially,somewhat,a short time,a while
唯一	ゆいいつ	only,sole,unique
勇気	ゆうき	courage,bravery,valour,nerve,boldness
有効	ゆうこう	validity,availability,effectiveness
優秀	ゆうしゅう	superiority,excellence
優勝	ゆうしょう	overall victory,championship
友情	ゆうじょう	friendship,fellowship
友人	ゆうじん	friend
有能	ゆうのう	able,capable,efficient,skill
郵便	ゆうびん	mail,postal service
夕べ	ゆうべ	evening
	ユーモア	humor
有利	ゆうり	advantageous,better,profitable,lucrative
床	ゆか	floor
愉快	ゆかい	pleasant,happy
輸出	ゆしゅつ	export
譲る	ゆずる	to turn over,to assign,to hand over
豊か	ゆたか	abundant,wealthy,plentiful,rich
輸入	ゆにゅう	importation,import,introduction
許す	ゆるす	to permit,to allow,to approve
夜	よ	evening,night
夜明け	よあけ	dawn,daybreak
様	よう	way,manner,kind
酔う	よう	to get drunk,to become intoxicated
容易	ようい	easy,simple,plain
陽気	ようき	season,weather,cheerfulness
要求	ようきゅう	request,demand,requisition
用心	ようじん	care,precaution,guarding,caution
様子	ようす	aspect,state,appearance
要するに	ようするに	in a word,after all,the point is ..,in short ..
要素	ようそ	element
要点	ようてん	gist,main point
予期	よき	expectation,assume will happen,forecast
横切る	よこぎる	to cross (e.g. arms),to traverse
予算	よさん	estimate,budget
止す	よす	to cease,to abolish,to resign,to give up
予測	よそく	prediction,estimation
	ヨット	yacht
夜中	よなか	midnight,dead of night
世の中	よのなか	society,the world,the times
余分	よぶん	extra,excess,surplus
予報	よほう	forecast,prediction
予防	よぼう	prevention,precaution,protection against
嫁	よめ	bride,daughter-in-law
余裕	よゆう	surplus,composure,margin,room,time,allowance,scope,rope
	より	twist,ply
よろしく	（感）	well,properly,suitably,best regards,please remember me
来	らい	,for (10 days),next (year)
	ライター	lighter,rider,writer
利益	りえき	profits,gains,(political, economic) interest
理解	りかい	understanding,comprehension
陸	りく	six (used in legal documents)
利口	りこう	clever,shrewd,bright,sharp,wise,intelligent
離婚	りこん	divorce
理想	りそう	ideal
率	りつ	rate,ratio,proportion,percentage
立派	りっぱ	splendid,fine,handsome,elegant,imposing,prominent,legal,legitimate
留学	りゅうがく	studying abroad
流行	りゅうこう	fashionable,fad,in vogue,prevailing
量	りょう	quantity,amount,volume,portion (of food)
両替	りょうがえ	change,money exchange
料金	りょうきん	fee,charge,fare
礼儀	れいぎ	manners,courtesy,etiquette
冷静	れいせい	calm,composure,coolness,serenity
列	れつ	queue,line,row
列車	れっしゃ	train (ordinary)
連想	れんそう	association (of ideas),suggestion
連続	れんぞく	serial,consecutive,continuity,continuing
老人	ろうじん	the aged,old person
労働	ろうどう	manual labor,toil,work
論じる	ろんじる	to argue,to discuss,to debate
論争	ろんそう	controversy,dispute
論文	ろんぶん	thesis,essay,treatise,paper
輪	わ	ring,hoop,circle
	わがまま	selfishness,egoism,wilfulness,disobedience,whim
別れ	わかれ	parting,separation,farewell
脇	わき	side
分ける	わける	to divide,to separate
	わざと	on purpose
僅か	わずか	only,merely,a little,small quantity
綿	わた	cotton,padding
話題	わだい	topic,subject
割る	わる	to divide,to cut,to break,to halve
湾	わん	bay,gulf,inlet
合う	あう	to match
上る	あがる	to rise
赤ん坊	あかんぼう	baby
空く	あく	to open, to become empty
浅い	あさい	shallow,superficial
味	あじ	flavour
明日	あす	tomorrow
安心	あんしん	relief
	あんな	such
以下	いか	less than
医学	いがく	medical science
意見	いけん	opinion
致す	いたす	(humble) to do
一生懸命	いっしょうけんめい	with utmost effort
糸	いと	thread
以内	いない	within
田舎	いなか	countryside
祈る	いのる	to pray
	いらっしゃる	(respectful) to be,to come or to go
植える	うえる	to plant,to grow
受付	うけつけ	receipt
受ける	うける	to take a lesson or test
	うち	within
打つ	うつ	to hit
写す	うつす	to copy or photograph
移る	うつる	to move house or transfer
裏	うら	reverse side
売り場	うりば	place where things are sold
運転手	うんてんしゅ	driver
枝	えだ	branch, twig
	おいでになる	(respectful) to be
お祝い	おいわい	congratulation
	オートバイ	motorcycle
億	おく	one hundred million
屋上	おくじょう	rooftop
贈り物	おくりもの	gift
送る	おくる	to send
起す	おこす	to wake
行う	おこなう	to do
押し入れ	おしいれ	closet
お宅	おたく	(polite) your house
落る	おちる	to fall or drop
	おっしゃる	(respectful) to say
夫	おっと	husband
	おつり	change from purchase, balance
お見舞い	おみまい	calling on someone who is ill,enquiry
表	おもて	the front
折る	おる	to break or to fold
折れる	おれる	to break or be folded
海岸	かいがん	coast
会議室	かいぎしつ	meeting room
会場	かいじょう	assembly hall or meeting place
掛ける	かける	to hang something
飾る	かざる	to decorate
堅/硬/固い	かたい	hard
片付ける	かたづける	to tidy up
課長	かちょう	section manager
	かっこう	appearance
家内	かない	housewife
	かまう	to mind
噛む	かむ	to bite,to chew
通う	かよう	to commute
乾く	かわく	to get dry
変わる	かわる	to change
看護婦	かんごふ	female nurse
機会	きかい	opportunity
危険	きけん	danger
汽車	きしゃ	steam train
技術	ぎじゅつ	art,technology,skill
季節	きせつ	season
規則	きそく	regulations
	きっと	surely
絹	きぬ	silk
急	きゅう	urgent, steep
急行	きゅうこう	speedy, express
教育	きょういく	education
教会	きょうかい	church
競争	きょうそう	competition
近所	きんじょ	neighbourhood
具合	ぐあい	condition,health
空港	くうこう	airport
草	くさ	grass
暮れる	くれる	to get dark,to come to an end
毛	け	hair or fur
経済	けいざい	finance,economy
警察	けいさつ	police
下宿	げしゅく	lodging
決して	けっして	never
原因	げんいん	cause,source
研究室	けんきゅうしつ	study room,laboratory
見物	けんぶつ	sightseeing
郊外	こうがい	outskirts
講義	こうぎ	lecture
工業	こうぎょう	the manufacturing industry
工場	こうじょう	factory
校長	こうちょう	headmaster
交通	こうつう	traffic,transportation
講堂	こうどう	auditorium
高等学校	こうとうがっこう	high school
公務員	こうむいん	government worker
国際	こくさい	international
御主人	ごしゅじん	(honorable) your husband
故障	こしょう・する	to break-down
小鳥	ことり	small bird
細かい	こまかい	small, fine
込む	こむ	to be crowded
米	こめ	uncooked rice
壊れる	こわれる	to be broken
今夜	こんや	tonight
最初	さいしょ	beginning,first
坂	さか	slope,hill
下る	さがる	to get down,to descend
盛ん	さかん	popularity,prosperous
下げる	さげる	to hang,to lower,to move back
	さっき	some time ago
騒ぐ	さわぐ	to make noise,to be excited
産業	さんぎょう	industry
仕方	しかた	method
	しかる	a particular
事故	じこ	accident
下着	したぎ	underwear
支度	したく・する	to prepare
	しっかり	firmly,steadily
